classification,Direction,trades,total_volume,avg_fee,avg_position_size
Extreme Fear,Buy,807,1194368.16,0.2822730141101611,1480.0101115241634
Extreme Fear,Close Long,6241,42635958.85,1.496856215350104,6831.590906905944
Extreme Fear,Close Short,3117,12393421.55,0.7985844696823869,3976.073644529997
Extreme Fear,Long > Short,5,4261.54,0.11781760000000001,852.308
Extreme Fear,Open Long,7005,42461713.38,1.1983255039257674,6061.629319057816
Extreme Fear,Open Short,3174,13932592.87,0.9566199873976055,4389.600778197857
Extreme Fear,Sell,1042,1470417.82,0.339724585412668,1411.1495393474088
Extreme Fear,Short > Long,6,391526.58,7.434680666666666,65254.43
Extreme Fear,Spot Dust Conversion,3,0.69,0.0,0.22999999999999998
Extreme Greed,Buy,5132,11420652.2,0.1293433755163679,2225.3803975058454
Extreme Greed,Close Long,7186,28240750.79,0.9867136132758141,3929.9681032563317
Extreme Greed,Close Short,6497,19491848.22,0.7378185290133907,3000.130555641065
Extreme Greed,Long > Short,7,73063.01,1.782767,10437.572857142857
Extreme Greed,Open Long,6300,29386636.08,1.1814691760317462,4664.545409523809
Extreme Greed,Open Short,7663,25687039.64,0.6861388522771761,3352.086603158032
Extreme Greed,Sell,7164,10131467.81,0.24607972599106642,1414.219403964266
Extreme Greed,Short > Long,11,33705.51,0.5647176363636364,3064.137272727273
Extreme Greed,Spot Dust Conversion,32,1.31,0.0,0.0409375
Fear,Buy,3207,5245263.2,0.460327200547178,1635.5669473027751
Fear,Close Long,17260,159250581.29,1.738513099594438,9226.569020278099
Fear,Close Short,9221,75309305.27,1.6966529885045007,8167.151639735386
Fear,Long > Short,14,361187.44,3.7698970714285713,25799.102857142858
Fear,Open Long,17824,166006836.42,1.5856060931328544,9313.669009201076
Fear,Open Short,10887,72335082.91,1.4433084413520711,6644.170378432993
Fear,Sell,3364,4536180.19,0.3689926171224732,1348.4483323424495
Fear,Short > Long,18,280341.22,3.327461555555556,15574.51222222222
Fear,Spot Dust Conversion,42,11.85,0.0,0.28214285714285714
Greed,Auto-Deleveraging,8,169507.75,0.0,21188.46875
Greed,Buy,4685,8803186.13,0.16399714112450375,1879.015182497332
Greed,Close Long,7998,76086336.03,2.049331637784446,9513.17029632408
Greed,Close Short,11322,51702249.45,1.052790449655538,4566.529716481187
Greed,Liquidated Isolated Short,1,32910.88,0.0,32910.88
Greed,Long > Short,16,266185.16,0.8253770625000001,16636.5725
Greed,Open Long,8544,94153051.47,2.6137170210674157,11019.785986657304
Greed,Open Short,11664,46918524.63,0.8491155836762688,4022.5072556584364
Greed,Sell,5986,10153613.58,0.2905895255596392,1696.2267925158703
Greed,Settlement,1,782.83,0.0,782.83
Greed,Short > Long,23,296139.44,1.3808753913043479,12875.627826086957
Greed,Spot Dust Conversion,55,7.37,0.0,0.134
Neutral,Buy,2885,4533327.35,0.21795548938329287,1571.3439688041592
Neutral,Close Long,9993,75999621.93,1.5743849946962873,7605.2858931251885
Neutral,Close Short,5850,20815400.25,0.9224883492307693,3558.188076923077
Neutral,Long > Short,15,187224.95,2.7686804,12481.663333333334
Neutral,Open Long,10222,48163197.56,1.0195123574642928,4711.719581295246
Neutral,Open Short,6353,26611622.53,0.9533082595624115,4188.827723909964
Neutral,Sell,2346,3817114.71,0.4591291841432225,1627.0736189258312
Neutral,Short > Long,12,114549.48999999999,1.6342215833333331,9545.790833333333
Neutral,Spot Dust Conversion,10,4.31,0.0,0.43099999999999994
